student_id,route_name,stop_name,distance_km,daily_usage,fee_paid,students
S001,Route A,Jawalapur,5,1,1500,34
S002,Route A,Jawalapur,7,1,1600,35
S003,Route A,Jawalapur,10,0,1700,36
S004,Route A,Roorkee,5,1,1500,37
S005,Route A,Roorkee,12,1,1800,38
S006,Route B,Roorkee,8,1,1600,39
S007,Route B,Roorkee,15,1,2000,40
S008,Route B,Roorkee,8,0,1600,41
S009,Route B,Manglore,18,1,2200,42
S010,Route B,Manglore,15,1,2000,43
S011,Route C,Manglore,6,1,1400,44
S012,Route C,Manglore,9,1,1500,45
S013,Route C,Manglore,6,0,1400,46
S014,Route C,Manglore,14,1,1800,47
S015,Route C,Manglore,9,1,1500,10
S016,Route D,Manglore,20,1,2500,10
S017,Route D,Haridwar,22,1,2600,10
S018,Route D,Haridwar,20,0,2500,10
S019,Route D,Haridwar,25,1,2800,10
S020,Route D,Haridwar,22,1,2600,10
S021,Route E,Haridwar,4,1,1200,10
S022,Route E,Haridwar,6,1,1300,10
S023,Route E,Haridwar,4,0,1200,10
S024,Route E,Haridwar,8,1,1400,10
S025,Route E,Haridwar,6,1,1300,12
S026,Route F,Haridwar,11,1,1700,12
S027,Route F,Bahdrabad,13,1,1800,12
S028,Route F,Bahdrabad,11,0,1700,12
S029,Route F,Bahdrabad,16,1,2000,12
S030,Route F,Bahdrabad,13,1,1800,12
S031,Route G,Bahdrabad,3,1,1100,12
S032,Route G,Bahdrabad,5,1,1200,12
S033,Route G,Bahdrabad,3,0,1100,12
S034,Route G,Bahdrabad,7,1,1300,12
S035,Route G,Bahdrabad,5,1,1200,12
S036,Route H,Bahdrabad,9,1,1500,12
S037,Route H,Bahdrabad,12,1,1700,12
S038,Route H,Bahdrabad,9,0,1500,12
S039,Route H,Bahdrabad,14,1,1800,12
S040,Route H,Bahdrabad,12,1,1700,12
